user_id,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,poutcome,y
BA2200001,56,housemaid,married,postgraduate,no,no,no,telephone,may,mon,261,nonexistent,no
BA2200002,57,services,married,high school,,no,no,telephone,may,mon,149,nonexistent,no
BA2200077,37,services,married,high school,no,yes,no,telephone,may,mon,226,nonexistent,no
BA2200004,40,admin.,married,postgraduate,no,no,no,telephone,may,mon,151,nonexistent,no
BA2200005,56,services,married,high school,no,no,yes,telephone,may,mon,307,nonexistent,no
BA2200006,45,services,married,postgraduate,,no,no,telephone,may,mon,198,nonexistent,no
BA2200007,59,admin.,married,junior college,no,no,no,telephone,may,mon,139,nonexistent,no
BA2200008,41,blue-collar,married,,,no,no,telephone,may,mon,217,nonexistent,no
BA2200009,24,technician,single,junior college,no,yes,no,telephone,may,mon,380,nonexistent,no
BA2200010,25,services,single,high school,no,yes,no,telephone,may,mon,50,nonexistent,no
BA2200011,41,blue-collar,married,,,no,no,telephone,may,mon,55,nonexistent,no
BA2200012,25,services,single,high school,no,yes,no,telephone,may,mon,222,nonexistent,no
BA2200013,29,blue-collar,single,high school,no,no,yes,telephone,may,mon,137,nonexistent,no
BA2200056,57,housemaid,divorced,postgraduate,no,yes,no,telephone,may,mon,293,nonexistent,no
BA2200015,35,blue-collar,married,postgraduate,no,yes,no,telephone,may,mon,146,nonexistent,no
BA2200016,54,retired,married,postgraduate,,yes,yes,telephone,may,mon,174,nonexistent,no
BA2200017,35,blue-collar,married,postgraduate,no,yes,no,telephone,may,mon,312,nonexistent,no
BA2200018,46,blue-collar,married,postgraduate,,yes,yes,telephone,may,mon,440,nonexistent,no
BA2200019,50,blue-collar,married,postgraduate,no,yes,yes,telephone,may,mon,353,nonexistent,no
BA2200020,39,management,single,postgraduate,,no,no,telephone,may,mon,195,nonexistent,no
BA2200021,30,unemployed,married,high school,no,no,no,telephone,may,mon,38,nonexistent,no
BA2200022,55,blue-collar,married,postgraduate,,yes,no,telephone,may,mon,262,nonexistent,no
BA2200023,55,retired,single,high school,no,yes,no,telephone,may,mon,342,nonexistent,no
BA2200024,41,technician,single,high school,no,yes,no,telephone,may,mon,181,nonexistent,no
BA2200025,37,admin.,married,high school,no,yes,no,telephone,may,mon,172,nonexistent,no
BA2200026,35,technician,married,undergraduate,no,no,yes,telephone,may,mon,99,nonexistent,no
BA2200027,59,technician,married,,no,yes,no,telephone,may,mon,93,nonexistent,no
BA2200028,39,self-employed,married,postgraduate,,no,no,telephone,may,mon,233,nonexistent,no
BA2200029,54,technician,single,undergraduate,,no,no,telephone,may,mon,255,nonexistent,no
BA2200030,55,,married,undergraduate,,,,telephone,may,mon,362,nonexistent,no
BA2200031,46,admin.,married,,no,no,no,telephone,may,mon,348,nonexistent,no
BA2200032,59,technician,married,,no,yes,no,telephone,may,mon,386,nonexistent,no
BA2200033,49,blue-collar,married,,no,no,no,telephone,may,mon,73,nonexistent,no
BA2200034,54,management,married,postgraduate,,yes,no,telephone,may,mon,230,nonexistent,no
BA2200035,54,blue-collar,divorced,postgraduate,no,no,no,telephone,may,mon,208,nonexistent,no
BA2200036,55,,married,postgraduate,,yes,no,telephone,may,mon,336,nonexistent,no
BA2200037,34,services,married,high school,no,no,no,telephone,may,mon,365,nonexistent,no
BA2200038,52,technician,married,postgraduate,no,yes,no,telephone,may,mon,1666,nonexistent,no
BA2200039,41,admin.,married,undergraduate,no,yes,no,telephone,may,mon,577,nonexistent,no
BA2200040,56,technician,married,postgraduate,no,yes,no,telephone,may,mon,137,nonexistent,no
BA2200041,58,management,,undergraduate,no,yes,no,telephone,may,mon,366,nonexistent,no
BA2200042,32,entrepreneur,married,high school,no,yes,no,telephone,may,mon,314,nonexistent,no
BA2200043,38,admin.,single,junior college,no,no,no,telephone,may,mon,160,nonexistent,no
BA2200044,57,admin.,married,undergraduate,no,no,yes,telephone,may,mon,212,nonexistent,no
BA2200045,44,admin.,married,undergraduate,,yes,no,telephone,may,mon,188,nonexistent,no
BA2200046,42,technician,single,junior college,,no,no,telephone,may,mon,22,nonexistent,no
BA2200047,57,admin.,married,undergraduate,no,yes,yes,telephone,may,mon,616,nonexistent,no
BA2200048,40,blue-collar,married,postgraduate,no,no,yes,telephone,may,mon,178,nonexistent,no
BA2200049,35,admin.,married,undergraduate,no,yes,no,telephone,may,mon,355,nonexistent,no
BA2200050,45,blue-collar,married,postgraduate,no,yes,no,telephone,may,mon,225,nonexistent,no
